,name,artist
189,It Goes Like This,Thomas Rhett
190,Bugatti,Ace Hood
191,Wanted,Hunter Hayes
192,Downtown,Lady Antebellum
193,Get Your Shine On,Florida Georgia Line
194,#thatPower,will.i.am
195,Brave,Sara Bareilles
196,Let Her Go,Passenger
197,Runnin' Outta Moonlight,Randy Houser
198,I'm Different,2 Chainz
199,Still Into You,Paramore
200,Happy,Pharrell Williams
201,Dark Horse,Katy Perry
202,All of Me,John Legend
203,Fancy,Iggy Azalea
204,Counting Stars,OneRepublic
205,Talk Dirty,Jason Derulo
206,Rude,Magic!
207,All About That Bass,Meghan Trainor
208,Problem,Ariana Grande
209,Stay with Me,Sam Smith
210,Timber,Pitbull
211,Pompeii,Bastille
212,Shake It Off,Taylor Swift
213,Am I Wrong,Nico & Vinz
214,Turn Down for What,DJ Snake & Lil Jon
215,The Monster,Eminem
216,Say Something,A Great Big World & Christina Aguilera
217,Team,Lorde
218,Let Her Go,Passenger
219,Royals,Lorde
220,Let It Go,Idina Menzel
221,Wake Me Up,Avicii
222,Demons,Imagine Dragons
223,Story of My Life,One Direction
224,Chandelier,Sia
225,Black Widow,Iggy Azalea
226,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj
227,Latch,Disclosure
228,Maps,Maroon 5
229,Loyal,Chris Brown
230,Best Day of My Life,American Authors
231,Habits (Stay High),Tove Lo
232,Summer,Calvin Harris
233,Boom Clap,Charli XCX
234,Drunk in Love,Beyoncé
235,Anaconda,Nicki Minaj
236,Break Free,Ariana Grande
237,Bailando,Enrique Iglesias
238,Burn,Ellie Goulding
239,Wiggle,Jason Derulo
240,Rather Be,Clean Bandit
241,Don't Tell 'Em,Jeremih
242,Show Me,Kid Ink
243,Wrecking Ball,Miley Cyrus
244,Not a Bad Thing,Justin Timberlake
245,Roar,Katy Perry
246,Ain't It Fun,Paramore
247,The Man,Aloe Blacc
248,This Is How We Roll,Florida Georgia Line
249,Classic,MKTO
250,A Sky Full of Stars,Coldplay
251,Don't,Ed Sheeran
252,Na Na,Trey Songz
253,Hot Boy,Bobby Shmurda
254,"Hold On, We're Going Home",Drake
255,Sing,Ed Sheeran
256,Radioactive,Imagine Dragons
257,My Hitta,YG
258,Cool Kids,Echosmith
259,Hey Brother,Avicii
260,Trumpets,Jason Derulo
261,Animals,Maroon 5
262,Burnin' It Down,Jason Aldean
263,Play It Again,Luke Bryan
264,2 On,Tinashe
265,Dirt,Florida Georgia Line
266,Love Runs Out,OneRepublic
267,Bottoms Up,Brantley Gilbert
268,Shower,Becky G
269,Me and My Broken Heart,Rixton
270,Animals,Martin Garrix
271,Lifestyle,Rich Gang
272,American Kids,Kenny Chesney
273,Brave,Sara Bareilles
274,Sweater Weather,The Neighbourhood
275,Leave the Night On,Sam Hunt
276,New Flame,Chris Brown
277,Love Never Felt So Good,Michael Jackson & Justin Timberlake
278,Drunk on a Plane,Dierks Bentley
279,Birthday,Katy Perry
280,Bartender,Lady Antebellum
281,La La La,Naughty Boy
282,Blurred Lines,Robin Thicke
283,Do What U Want,Lady Gaga
284,Can't Remember to Forget You,Shakira
285,Amnesia,5 Seconds of Summer
286,No Mediocre,T.I.
287,Come with Me Now,KONGOS
288,Believe Me,Lil Wayne
289,23,Mike WiLL Made-It
290,Beachin',Jake Owen
291,White Walls,Macklemore & Ryan Lewis
292,She Looks So Perfect,5 Seconds of Summer
293,Stay the Night,Zedd
294,Partition,Beyoncé
295,Studio,ScHoolboy Q
296,0 to 100 / The Catch Up,Drake
297,I Don't Dance,Lee Brice
298,Somethin' Bad,Miranda Lambert & Carrie Underwood
299,Adore You,Miley Cyrus
300,Uptown Funk,Mark Ronson
301,Thinking Out Loud,Ed Sheeran
302,See You Again,Wiz Khalifa
303,Trap Queen,Fetty Wap
304,Sugar,Maroon 5
305,Shut Up and Dance,Walk the Moon
306,Blank Space,Taylor Swift
307,Watch Me,Silentó
308,Earned It,The Weeknd
309,The Hills,The Weeknd
310,Cheerleader,OMI
311,Can't Feel My Face,The Weeknd
312,Love Me Like You Do,Ellie Goulding
313,Take Me to Church,Hozier
314,Bad Blood,Taylor Swift
315,Lean On,Major Lazer & DJ Snake
316,Want to Want Me,Jason Derulo
317,Shake It Off,Taylor Swift
318,Where Are Ü Now,Skrillex & Diplo & Jack Ü
319,Fight Song,Rachel Platten
320,679,Fetty Wap
321,Lips Are Movin,Meghan Trainor
322,Worth It,Fifth Harmony
323,Post to Be,Omarion
324,"Honey, I'm Good.",Andy Grammer
325,I'm Not the Only One,Sam Smith
326,Good for You,Selena Gomez
327,All About That Bass,Meghan Trainor
328,Style,Taylor Swift
329,Hotline Bling,Drake
330,Hey Mama,David Guetta
331,G.D.F.R.,Flo Rida
332,What Do You Mean?,Justin Bieber
333,Photograph,Ed Sheeran
334,Hello,Adele
335,Stitches,Shawn Mendes
336,Talking Body,Tove Lo
337,Jealous,Nick Jonas
338,Time of Our Lives,Pitbull & Ne-Yo
339,Locked Away,R. City
340,Somebody,Natalie La Rose
341,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney
342,Centuries,Fall Out Boy
343,My Way,Fetty Wap
344,Take Your Time,Sam Hunt
345,Animals,Maroon 5
346,I Don't Fuck with You,Big Sean
347,Bitch Better Have My Money,Rihanna
348,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
349,Nasty Freestyle,T-Wayne
350,Only,Nicki Minaj
351,Elastic Heart,Sia
352,Cool for the Summer,Demi Lovato
353,Renegades,X Ambassadors
354,I Don't Mind,Usher
355,Love Me Harder,Ariana Grande & The Weeknd
356,Wildest Dreams,Taylor Swift
357,Stay with Me,Sam Smith
358,You Know You Like It,DJ Snake & AlunaGeorge
359,Uma Thurman,Fall Out Boy
360,7/11,Beyoncé
361,The Heart Wants What It Wants,Selena Gomez
362,Girl Crush,Little Big Town
363,Slow Motion,Trey Songz
364,Drag Me Down,One Direction
365,Truffle Butter,Nicki Minaj
366,One Last Time,Ariana Grande
367,Chains,Nick Jonas
368,All Eyes on You,Meek Mill
369,No Type,Rae Sremmurd
370,Riptide,Vance Joy
371,Classic Man,Jidenna
372,Ex's & Oh's,Elle King
373,Dear Future Husband,Meghan Trainor
374,Marvin Gaye,Charlie Puth
375,Like I'm Gonna Lose You,Meghan Trainor
376,Habits (Stay High),Tove Lo
377,The Hanging Tree,James Newton Howard
378,CoCo,O.T. Genasis
379,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj
380,Lay Me Down,Sam Smith
381,Tuesday,ILoveMakonnen
382,Hit the Quan,iLoveMemphis
383,Downtown,Macklemore & Ryan Lewis
384,House Party,Sam Hunt
385,Ayo,Chris Brown & Tyga
386,Kick the Dust Up,Luke Bryan
387,Blessings,Big Sean
388,Budapest,George Ezra
389,Chandelier,Sia
390,Heartbeat Song,Kelly Clarkson
391,Don't,Ed Sheeran
392,Ghost,Ella Henderson
393,Here,Alessia Cara
394,Waves,Mr Probz
395,El Perdón,Nicky Jam & Enrique Iglesias
396,She Knows,Ne-Yo
397,Night Changes,One Direction
398,Back to Back,Drake
399,How Deep Is Your Love,Calvin Harris & Disciples
400,Love Yourself,Justin Bieber
401,Sorry,Justin Bieber
402,One Dance,Drake
403,Work,Rihanna
404,Stressed Out,Twenty One Pilots
405,Panda,Desiigner
406,Hello,Adele
407,Don't Let Me Down,The Chainsmokers
408,Can't Stop the Feeling!,Justin Timberlake
409,Closer,The Chainsmokers
410,Cheap Thrills,Sia
411,7 Years,Lukas Graham
412,Needed Me,Rihanna
413,My House,Flo Rida
414,I Took a Pill in Ibiza,Mike Posner
415,Work from Home,Fifth Harmony
416,This Is What You Came For,Calvin Harris
417,Cake by the Ocean,DNCE
418,"Me, Myself & I",G-Eazy & Bebe Rexha
419,Ride,Twenty One Pilots
420,Heathens,Twenty One Pilots
421,Pillowtalk,Zayn
422,Stitches,Shawn Mendes
423,Hotline Bling,Drake
424,Cold Water,Major Lazer
425,Send My Love (To Your New Lover),Adele
426,Roses,The Chainsmokers
427,Treat You Better,Shawn Mendes
428,Too Good,Drake
429,Low Life,Future
430,What Do You Mean?,Justin Bieber
431,The Hills,The Weeknd
432,Just Like Fire,P!nk
433,Broccoli,DRAM
434,Don't,Bryson Tiller
435,Dangerous Woman,Ariana Grande
436,Jumpman,Drake & Future
437,"I Hate U, I Love U",Gnash
438,Here,Alessia Cara
439,Same Old Love,Selena Gomez
440,Controlla,Drake
441,Like I'm Gonna Lose You,Meghan Trainor
442,One Call Away,Charlie Puth
443,Let It Go,James Bay
444,No,Meghan Trainor
445,Never Forget You,Zara Larsson & MNEK
446,Let Me Love You,DJ Snake
447,Don't Mind,Kent Jones
448,H.O.L.Y.,Florida Georgia Line
449,We Don't Talk Anymore,Charlie Puth
450,Into You,Ariana Grande
451,Gold,Kiiara
452,Exchange,Bryson Tiller
453,679,Fetty Wap
454,Oui,Jeremih
455,Hands to Myself,Selena Gomez
456,2 Phones,Kevin Gates
457,Starboy,The Weeknd
458,For Free,DJ Khaled
459,Never Be Like You,Flume
460,In the Night,The Weeknd
461,Me Too,Meghan Trainor
462,Ex's & Oh's,Elle King
463,Die a Happy Man,Thomas Rhett
464,White Iverson,Post Malone
465,Close,Nick Jonas
466,Unsteady,X Ambassadors
467,Sucker for Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla Sign
468,Down in the DM,Yo Gotti
469,Luv,Tory Lanez
470,Sorry,Beyoncé
471,Can't Feel My Face,The Weeknd
472,Hymn for the Weekend,Coldplay
473,Say It,Tory Lanez
474,Antidote,Travis Scott
475,Lost Boy,Ruth B
476,Side to Side,Ariana Grande
477,"Sit Still, Look Pretty",Daya
478,Wildest Dreams,Taylor Swift
479,Middle,DJ Snake
480,On My Mind,Ellie Goulding
481,Pop Style,Drake
482,When We Were Young,Adele
483,Hide Away,Daya
484,Lean On,Major Lazer & DJ Snake
485,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
486,All the Way Up,Fat Joe & Remy Ma
487,Watch Me,Silentó
488,Back to Sleep,Chris Brown
489,No Limit,Usher
490,Cut It,O.T. Genasis
491,Really Really,Kevin Gates
492,All In My Head (Flex),Fifth Harmony
493,Starving,Hailee Steinfeld & Grey
494,Adventure of a Lifetime,Coldplay
495,Humble and Kind,Tim McGraw
496,Wicked,Future
497,Tiimmy Turner,Desiigner
498,See You Again,Wiz Khalifa
499,Perfect,One Direction
500,Shape of You,Ed Sheeran
501,Despacito (Remix),Luis Fonsi & Daddy Yankee
502,That's What I Like,Bruno Mars
503,Humble,Kendrick Lamar
504,Something Just Like This,The Chainsmokers & Coldplay
505,Bad and Boujee,Migos
506,Closer,The Chainsmokers
507,Body Like a Back Road,Sam Hunt
508,Believer,Imagine Dragons
509,Congratulations,Post Malone
510,Say You Won't Let Go,James Arthur
511,I'm the One,DJ Khaled
512,XO Tour Llif3,Lil Uzi Vert
513,Mask Off,Future
514,Unforgettable,French Montana
515,24K Magic,Bruno Mars
516,Stay,Zedd & Alessia Cara
517,Wild Thoughts,DJ Khaled
518,Black Beatles,Rae Sremmurd
519,Starboy,The Weeknd
520,Location,Khalid
521,Attention,Charlie Puth
522,There's Nothing Holdin' Me Back,Shawn Mendes
523,Bodak Yellow,Cardi B
524,Redbone,Childish Gambino
525,I Don't Wanna Live Forever,Zayn & Taylor Swift
526,It Ain't Me,Kygo & Selena Gomez
527,iSpy,Kyle
528,Issues,Julia Michaels
529,Scars to Your Beautiful,Alessia Cara
530,1-800-273-8255,Logic
531,Slow Hands,Niall Horan
532,Love on the Brain,Rihanna
533,I Feel It Coming,The Weeknd
534,Bounce Back,Big Sean
535,Strip That Down,Liam Payne
536,Fake Love,Drake
537,Don't Wanna Know,Maroon 5
538,Look What You Made Me Do,Taylor Swift
539,Castle on the Hill,Ed Sheeran
540,Bad Things,Machine Gun Kelly & Camila Cabello
541,Paris,The Chainsmokers
542,Side to Side,Ariana Grande
543,Rockabye,Clean Bandit
544,Feel It Still,Portugal. The Man
545,Let Me Love You,DJ Snake
546,Sorry Not Sorry,Demi Lovato
547,Bank Account,21 Savage
548,Can't Stop the Feeling!,Justin Timberlake
549,Mi Gente,J Balvin & Willy William
550,Thunder,Imagine Dragons
551,T-shirt,Migos
552,Rake It Up,Yo Gotti
553,Mercy,Shawn Mendes
554,Tunnel Vision,Kodak Black
555,Rockstar,Post Malone
556,In Case You Didn't Know,Brett Young
557,Heathens,Twenty One Pilots
558,Now or Never,Halsey
559,Caroline,Aminé
560,Rolex,Ayo & Teo
561,DNA,Kendrick Lamar
562,Juju on That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
563,Swang,Rae Sremmurd
564,Passionfruit,Drake
565,Loyalty,Kendrick Lamar
566,Praying,Kesha
567,Goosebumps,Travis Scott
568,Cold,Maroon 5
569,Broccoli,DRAM
570,Slide,Calvin Harris
571,What Ifs,Kane Brown
572,Chained to the Rhythm,Katy Perry
573,Feels,Calvin Harris
574,All Time Low,Jon Bellion
575,Hurricane,Luke Combs
576,Too Good at Goodbyes,Sam Smith
577,Young Dumb & Broke,Khalid
578,Magnolia,Playboi Carti
579,Love Galore,SZA
580,Drowning,A Boogie wit da Hoodie
581,Starving,Hailee Steinfeld & Grey
582,Both,Gucci Mane
583,What About Us,P!nk
584,Swalla,Jason Derulo
585,Slippery,Migos
586,Sign of the Times,Harry Styles
587,Water Under the Bridge,Adele
588,Malibu,Miley Cyrus
589,Down,Marian Hill
590,No Promises,Cheat Codes
591,Treat You Better,Shawn Mendes
592,I Get the Bag,Gucci Mane
593,Small Town Boy,Dustin Lynch
594,Everyday We Lit,YFN Lucci
595,Havana,Camila Cabello
596,What Lovers Do,Maroon 5
597,Do Re Mi,Blackbear
598,Look at Me!,XXXTentacion
599,The Fighter,Keith Urban
600,God's Plan,Drake
601,Perfect,Ed Sheeran
602,Meant to Be,Bebe Rexha
603,Havana,Camila Cabello
604,Rockstar,Post Malone
605,Psycho,Post Malone
606,I Like It,Cardi B & Bad Bunny & J Balvin
607,The Middle,Zedd & Maren Morris & Grey
608,In My Feelings,Drake
609,Girls Like You,Maroon 5
610,Nice for What,Drake
611,Lucid Dreams,Juice Wrld
612,Better Now,Post Malone
613,Finesse,Bruno Mars
614,Boo'd Up,Ella Mai
615,New Rules,Dua Lipa
616,Sad!,XXXTentacion
617,Never Be the Same,Camila Cabello
618,Love Lies,Khalid & Normani
619,No Tears Left to Cry,Ariana Grande
620,Mine,Bazzi
621,Thunder,Imagine Dragons
622,Look Alive,BlocBoy JB
623,Delicate,Taylor Swift
624,Yes Indeed,Lil Baby & Drake
625,Friends,Marshmello & Anne-Marie
626,Bad at Love,Halsey
627,Taste,Tyga
628,Let You Down,NF
629,No Limit,G-Eazy
630,Fefe,6ix9ine
631,Tequila,Dan + Shay
632,Feel It Still,Portugal. The Man
633,MotorSport,Migos & Nicki Minaj & Cardi B
634,I Like Me Better,Lauv
635,Youngblood,5 Seconds of Summer
636,Whatever It Takes,Imagine Dragons
637,Ric Flair Drip,Offset & Metro Boomin
638,I Fall Apart,Post Malone
639,Pray for Me,The Weeknd & Kendrick Lamar
640,Back to You,Selena Gomez
641,Sicko Mode,Travis Scott
642,Walk It Talk It,Migos
643,Gucci Gang,Lil Pump
644,Him & I,G-Eazy & Halsey
645,In My Blood,Shawn Mendes
646,All the Stars,Kendrick Lamar & SZA
647,Stir Fry,Migos
648,Too Good at Goodbyes,Sam Smith
649,Love,Kendrick Lamar
650,This Is America,Childish Gambino
651,Nonstop,Drake
652,Heaven,Kane Brown
653,Bodak Yellow,Cardi B
654,Freaky Friday,Lil Dicky
655,Gummo,6ix9ine
656,Plug Walk,Rich the Kid
657,Wait,Maroon 5
658,Be Careful,Cardi B
659,Wolves,Selena Gomez & Marshmello
660,Bartier Cardi,Cardi B
661,God Is a Woman,Ariana Grande
662,Big Bank,YG
663,Sorry Not Sorry,Demi Lovato
664,How Long,Charlie Puth
665,Lights Down Low,Max
666,Young Dumb & Broke,Khalid
667,One Kiss,Calvin Harris & Dua Lipa
668,Natural,Imagine Dragons
669,You Make It Easy,Jason Aldean
670,Shape of You,Ed Sheeran
671,I Get the Bag,Gucci Mane
672,No Brainer,DJ Khaled
673,Plain Jane,ASAP Ferg
674,Sky Walker,Miguel
675,Marry Me,Thomas Rhett
676,Eastside,Benny Blanco & Halsey & Khalid
677,Call Out My Name,The Weeknd
678,King's Dead,Jay Rock & Kendrick Lamar & Future & James Blake
679,Happier,Marshmello & Bastille
680,Te Boté,Darell
681,Simple,Florida Georgia Line
682,Lemon,N.E.R.D & Rihanna
683,1-800-273-8255,Logic
684,Say Something,Justin Timberlake
685,I'm Upset,Drake
686,Get Along,Kenny Chesney
687,Moonlight,XXXTentacion
688,What Lovers Do,Maroon 5
689,X,Nicky Jam & J Balvin
690,Outside Today,YoungBoy Never Broke Again
691,Trip,Ella Mai
692,Dura,Daddy Yankee
693,Changes,XXXTentacion
694,Mercy,Brett Young
695,One Number Away,Luke Combs
696,Powerglide,Rae Sremmurd
697,IDGAF,Dua Lipa
698,Mi Gente,J Balvin & Willy William
699,Believer,Imagine Dragons
700,Old Town Road,Lil Nas X
701,Sunflower,Post Malone & Swae Lee
702,Without Me,Halsey
703,Bad Guy,Billie Eilish
704,Wow,Post Malone
705,Happier,Marshmello & Bastille
706,7 Rings,Ariana Grande
707,Talk,Khalid
708,Sicko Mode,Travis Scott
709,Sucker,Jonas Brothers
710,High Hopes,Panic! at the Disco
711,"Thank U, Next",Ariana Grande
712,Truth Hurts,Lizzo
713,Dancing with a Stranger,Sam Smith & Normani
714,Señorita,Shawn Mendes & Camila Cabello
715,I Don't Care,Ed Sheeran & Justin Bieber
716,Eastside,Benny Blanco & Halsey & Khalid
717,Going Bad,Meek Mill
718,Shallow,Lady Gaga & Bradley Cooper
719,Better,Khalid
720,No Guidance,Chris Brown
721,Girls Like You,Maroon 5
722,Sweet but Psycho,Ava Max
723,Suge,DaBaby
724,Middle Child,J. Cole
725,Drip Too Hard,Lil Baby & Gunna
726,Someone You Loved,Lewis Capaldi
727,Ransom,Lil Tecca
728,If I Can't Have You,Shawn Mendes
729,Goodbyes,Post Malone
730,Zeze,Kodak Black
731,Better Now,Post Malone
732,Youngblood,5 Seconds of Summer
733,Money in the Grave,Drake
734,Speechless,Dan + Shay
735,"Break Up with Your Girlfriend, I'm Bored",Ariana Grande
736,Please Me,Cardi B & Bruno Mars
737,Money,Cardi B
738,You Need to Calm Down,Taylor Swift
739,Panini,Lil Nas X
740,Look Back at It,A Boogie wit da Hoodie
741,A Lot,21 Savage
742,Me!,Taylor Swift
743,Mia,Bad Bunny
744,Pop Out,Polo G
745,Beautiful Crazy,Luke Combs
746,Thotiana,Blueface
747,Lucid Dreams,Juice Wrld
748,Mo Bamba,Sheck Wes
749,Beautiful People,Ed Sheeran
750,Wake Up in the Sky,Gucci Mane & Bruno Mars & Kodak Black
751,Whiskey Glasses,Morgan Wallen
752,God's Country,Blake Shelton
753,Be Alright,Dean Lewis
754,Pure Water,Mustard & Migos
755,The Git Up,Blanco Brown
756,Taki Taki,DJ Snake
757,Close to Me,Ellie Goulding & Diplo
758,Envy Me,Calboy
759,You Say,Lauren Daigle
760,"Hey Look Ma, I Made It",Panic! at the Disco
761,Circles,Post Malone
762,Beer Never Broke My Heart,Luke Combs
763,The London,Young Thug & J. Cole & Travis Scott
764,Con Calma,Daddy Yankee & Katy Perry
765,Murder on My Mind,YNW Melly
766,When the Party's Over,Billie Eilish
767,Act Up,City Girls
768,I Like It,Cardi B & Bad Bunny & J Balvin
769,Trampoline,Shaed
770,Leave Me Alone,Flipp Dinero
771,Breathin,Ariana Grande
772,Bury a Friend,Billie Eilish
773,Close Friends,Lil Baby
774,Baby Shark,Pinkfong
775,My Type,Saweetie
776,Worth It,YK Osiris
777,Only Human,Jonas Brothers
778,Knockin' Boots,Luke Bryan
779,Trip,Ella Mai
780,Rumor,Lee Brice
781,Swervin,A Boogie wit da Hoodie
782,How Do You Sleep?,Sam Smith
783,Baby,Lil Baby & DaBaby
784,Look What God Gave Her,Thomas Rhett
785,Good as You,Kane Brown
786,Clout,Offset
787,Love Lies,Khalid & Normani
788,One Thing Right,Marshmello & Kane Brown
789,Cash Shit,Megan Thee Stallion
790,Tequila,Dan + Shay
791,Shotta Flow,NLE Choppa
792,Hot Girl Summer,Megan Thee Stallion
793,Talk You Out of It,Florida Georgia Line
794,Beautiful,Bazzi
795,Eyes on You,Chase Rice
796,All to Myself,Dan + Shay
797,Boyfriend,Ariana Grande & Social House
798,Walk Me Home,Pink
799,Robbery,Juice Wrld
800,Blinding Lights,The Weeknd
801,Circles,Post Malone
802,The Box,Roddy Ricch
803,Don't Start Now,Dua Lipa
804,Rockstar,DaBaby
805,Adore You,Harry Styles
806,Life Is Good,Future
807,Memories,Maroon 5
808,The Bones,Maren Morris
809,Someone You Loved,Lewis Capaldi
810,Say So,Doja Cat
811,I Hope,Gabby Barrett
812,Whats Poppin,Jack Harlow
813,Dance Monkey,Tones and I
814,Savage,Megan Thee Stallion
815,Roxanne,Arizona Zervas
816,Intentions,Justin Bieber
817,Everything I Wanted,Billie Eilish
818,Roses (Imanbek remix),Saint Jhn
819,Watermelon Sugar,Harry Styles
820,Before You Go,Lewis Capaldi
821,Falling,Trevor Daniel
822,"10,000 Hours",Dan + Shay & Justin Bieber
823,WAP,Cardi B
824,Ballin',Mustard & Roddy Ricch
825,Hot Girl Bummer,Blackbear
