,name,artist,lyric
295,Studio,ScHoolboy Q,"I'm just sittin' in the studio just tryna get to you, baby
But this song so fuckin' dope, girl, it's harder not for me to blaze it
To tell the truth, wish it was you in this booth that I was blazin'
So I'm just sittin' in the studio just tryna get to you, baby

See I've been in the studio just tryna get to you, baby
All night layin' verses though I'd rather lay with you, baby
Bra and panties matchin', nail and toes, you all kinda lady
Angel out of heaven, such a goddess have a nigga prayin'

I'm just sittin' in the studio just tryna get to you, baby
But this song so fuckin' dope, girl, it's harder not for me to blaze it
To tell the truth, wish it was you in this booth that I was blazin'
So I'm just sittin' in the studio just tryna get to you, baby

You need a real nigga, shorty
So come and throw that pussy, shorty
See I think you and me can make it
This little verse to get you naked
See, your heart ain't meant for breaking
Cupid's never been mistaken
See, I been caught up in the moment
Shit, my type ain't quite her type but now this gangsta nigga on it
She can twist my weed and hit the 'yac
I can hit your type without the hat, put that pussy on the map
I see qualities in a bad girl, I know that ass you got
Come with attitude and your swag, girl, you ain't wrong, girl
Just when that door knock lose your thong, girl
'Cause you girl, 'cause you girl, girl, 'cause you girl, girl
'Cause you girl, girl...

I'm just sittin' in the studio just tryna get to you, baby
But this song so fuckin' dope, girl, it's harder not for me to blaze it
To tell the truth, wish it was you in this booth that I was blazin'
So I'm just sittin' in the studio just tryna get to you, baby

Throw a loc your pussy, girl, you knowing that your nigga faded
Can I hit that pussy way I wanna while this record playing?
Put my tongue in different places, play a game of Operation
Uh, like, na-na-na, la-la, la-la, you get what I'm saying
No metaphors, nothing like that
I'm keeping it straight to the point with you
So, I'ma put this dick up all in-side-of-you

I'm just sittin' in the studio just tryna get to you, baby
But this song so fuckin' dope, girl, it's harder not for me to blaze it
To tell the truth, wish it was you in this booth that I was blazin'
So I'm just sittin' in the studio just tryna get to you, baby
I'm just sittin' in the studio just tryna get to you, baby
But this song so fuckin' dope, girl, it's harder not for me to blaze it
To tell the truth, wish it was you in this booth that I was blazin'
So I'm just sittin' in the studio just tryna get to you, baby"
296,0 to 100 / The Catch Up,Drake,"Fuck bein' on some chill shit
We go 0 to 100, nigga, real quick
They be on that rap-to-pay-the-bills shit
And I don't feel that shit, not even a little bit
Oh, Lord, know yourself, know your worth, nigga
My actions been louder than my words, nigga
How you so high, but still so down to Earth, nigga?
Niggas wanna do it, we can do it on they turf, nigga
Oh, Lord, I'm the rookie and the vet
Shoutout to the bitches out here holdin' down the set
All up in my phone, lookin' at pictures from the other night
She gon' be upset if she keep scrollin' to the left, dawg
She gon' see some shit that she don't wanna see
She ain't ready for it; if I ain't the greatest, then I'm headed for it
Yeah, that mean I'm way up (Way up)
Yeah, the 6 ain't friendly, but that's where I lay up (Lay up)
This shit a mothafuckin' lay-up
I been Steph Curry with the shot
Been cookin' with the sauce, Chef Curry with the pot, boy
360 with the wrist, boy
Ayy, who the fuck them niggas is, boy?
OVO, man, we really with the shits, boy
Yeah, really with the shits, I should prolly sign to Hit-Boy 'cause I got all the hits, boy (Ha-ha)
Fuck all that ""Drake, you gotta chill"" shit
I be on my Lil Mouse drill shit
Fuck all that rap-to-pay-your-bills shit
Yeah, I'm on some Raptors-pay-my-bills shit
All up on TV, I thought it'd make me richer
Wasn't payin' me enough, I needed somethin' quicker
So now I'm all in Niko basement puttin' work in on the phones
Either that or drive to Money Mart to make the pickups
Man, it's 2008, I'm tryna paint the picture
Comeback Season in the works and now I'm thinkin' bigger
I got 40 in the studio, every night, late night
Gotta watch that shit, don't want to make him sicker, that's my nigga
Oh, Lord, got a whole lot to show for it
I mean, we could really get it, we could go for it
I'm just here for the bucks and the billis, nigga
Don't make me kill one of the GOATs for it (Arf!)
I run this shit, they like, ""Go Forrest
Run Forrest, run Forrest, go Forrest""
Yeah, I mean you already wrote for us
Damn, nigga, what's one more quote for us?
Oh, Lord, who else soundin' like this?
They ain't made me what I am, they just found me like this
I was ready... fuck that, I been ready
Since my dad used to tell me he was comin' to the house to get me
He ain't show up
Valuable lesson, man, I had to grow up
That's why I never ask for help
I'll do it for you niggas and do it for myself

I go 0 to 100, nigga, real quick
Real quick, whole squad on that real shit
0 to 100, nigga, real quick
Real quick, real fuckin' quick, nigga
0 to 100, nigga, real quick
Real quick, whole squad on that real shit
0 to 100, nigga, real quick
Real quick, real fuckin' quick, nigga

Whole squad on that real shit
Whole squad on that real shit
Whole squad on that real shit, yeah

The other night Lavish Lee told me that I'm all these people listen to
She said they love me unconditional
Imagine how it feel to watch another nigga at the top
You know that if you wasn't you, you would be dissin' you, dawg
Damn, okay, from that perspective
I see what you're talkin' 'bout, no way to soften that
'Cause me, I was tryna find out where I lost 'em at
But maybe I ain't lose 'em at all
Maybe I keep movin' forward and they're just stagnant, they ain't movin' at all
But when they need a favor, who do they call?
Maybe I'm searchin' for the problems askin' what was said and who was involved
Too focused on people's feedback and provin' 'em wrong
They say the shoe can always fit, no matter whose foot it's on
These days feel like I'm squeezin' in 'em
Whoever wore 'em before just wasn't thinkin' big enough, I'm 'bout to leave 'em with 'em
'Cause if I run the game in these, man, the seams are splittin'
No pun intended, but they smellin' defeat in the air
Headed where nobody took it, who meetin' me there?
They tell him that he talkin' crazy but he doesn't care
Bein' humble don't work as well as bein' aware
Listen up, boy, you're better off eavesdroppin'
We already got spring 2015 poppin'
PND droppin', Reps-up P droppin'
Majid Jordan droppin', OB droppin', not to mention me droppin'
Feel like we paid the refs off, man, we fixed the game
Me and Noel been at it before Twitter names
Yeah, been on the move like the lease is up
And I can't even name one person that's keepin' up
Damn, fuck how it was in the past tense
Ask yourself, how do we match up now?
'Cause I'm only 27 and I'm only gettin' better
If I haven't passed you yet, watch me catch up now, for real

Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up"
297,I Don't Dance,Lee Brice,"I’ll never settle down
That’s what I always thought
Yeah, I was that kind of man
Just ask anyone

I don’t dance, But here I am
Spinning you round and round in circles
It Ain’t my style, but I don’t care
I’d do anything with you anywhere
Yes, you got me in the palm of your hand
Cause, I don’t dance

Love’s never come my way
I’ve never been this far
Cause you took these two left feet
And waltzed away with my heart

No, I don’t dance, but here I am
Spinning you round and round in circles
It ain’t my style, but I don’t care
I’d do anything with you anywhere
Yes, you got me in the palm of your hand, girl
Cause, I don’t dance
Ohhh
I don’t dance

Ooh
I don’t dance, but here I am
Spinning you round and round in circles
It ain’t my style, but I don’t care
I’d do anything with you anywhere
I don’t dance, but here I am
Spinning you around and around in circles
It ain’t my style, but I don’t care
I’d do anything with you anywhere
Yeah, you got me in the palm of your hand, girl
Cause, I don’t dance
Oh
No..
Oooh…"
298,Somethin' Bad,Miranda Lambert & Carrie Underwood,"Stand on the bar, stomp your feet, start clapping
Got a real good feeling somethin' bad about to happen

Pulled up to the church but I got so nervous
Had to back it on up, couldn't make it to the service
Grabbed all the cash underneath my mattress
Got a real good feeling somethin' bad about to happen

Ran into a girl in a pretty white dress
Rolled down a window
Where you headed to next?
Said I'm heading to the bar with my money out of the mattress
Got a real good feeling somethin' bad about to happen

Stand on the bar, stomp your feet, start clapping
Got a real good feeling somethin' bad about to happen
Drinks keep coming, throw my head back laughing
Wake up in the morning, don't know what happened
Whoa... somethin' bad
Whoa... somethin' bad

Now me and that girl that I met on the street
We're rollin' down the road, down to New Orleans
Got a full tank of gas and the money out of the mattress
Got a real good feeling somethin' bad about to happen

Bout to tear it up down in New Orleans
Just like a real-life Thelma and Louise
If the cops catch up, they're gonna call it kidnapping
Got a real good feelin' somethin' bad about to happen

Stand on the bar, stomp your feet, start clapping
Got a real good feeling somethin' bad about to happen
Drinks keep coming, throw my head back laughing
Wake up in the morning, don't know what happened
Whoa... somethin' bad
Whoa... somethin' bad
Stand on the bar, stomp your feet, start clapping
Got a real good feeling somethin' bad about to happen
Drinks keep coming, throw my head back laughing
Wake up in the morning, don't know what happened
(Yeah, yeah, Yeah)

Whoa... somethin' bad
Whoa... somethin' bad"
299,Adore You,Miley Cyrus,"Oh-oh, oh-oh
Hey
Oh, oh, mm

Baby, baby, yeah
Are you listenin'?
Wonderin' where you've been
All my life
I just started livin'
Ooh, oh, baby
Are you listenin'? Oh-oh

When you say you love me
Know I love you more
And when you say you need me
Know I need you more
Boy, I adore you
I adore you

Baby, can you hear me
When I'm cryin' out for you?
I'm scared, oh, so scared
But when you're near me, uh
I feel like I'm standin' with an army
Of men armed with weapons
Hey, oh

When you say you love me
Know I love you more
And when you say you need me
Know I need you more
Boy, I adore you
I adore you

I love lyin' next to you
I could do this for eternity
You and me
We're meant to be in holy matrimony
God knew exactly what He was doin'
When He led me to you

When you say you love me
Know I love you more (I love you more)
And when you say you need me
Know I need you more
Boy, I adore you
I adore you
When you say you love me
Know I love you more
And when you say you need me
Know I need you more
Boy, I adore you
I adore you"
300,Uptown Funk,Mark Ronson,"Doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh (Aw, ow)

This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls, straight masterpieces
Stylin', wilin', livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself, I'm so pretty
I'm too hot (Hot damn)
(Doh)
Uh, call the police and the fireman
(Doh-doh-doh, doh-doh-doh, doh-doh)
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Make a dragon wanna retire, man
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Say my name, you know who I am
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh, doh, doh)
And my band 'bout that money, break it down

Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
'Cause uptown funk gon' give it to you (Woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on

Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh–)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

Stop, wait a minute
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio, get the stretch
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of Skippy

I'm too hot (Hot damn)
(Doh)
Call the police and the fireman
(Doh-doh-doh, doh-doh-doh, doh-doh)
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Make a dragon wanna retire, man
I'm too hot (Too hot, hot damn, hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Bitch, say my name, you know who I am
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh, doh, doh)
Uh, and my band 'bout that money, break it down

Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
'Cause uptown funk gon' give it to you (Woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on

Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh–)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

(Doh)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Before we leave
(Doh-doh-doh, doh-doh-doh, doh-doh)
Lemme tell y'all a lil' something
Uptown funk you up, uptown funk you up
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up, uptown funk you up, uh
(Doh-doh-doh, doh-doh-doh, doh-doh)
I said, uptown funk you up, uptown funk you up, uh
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up, uptown funk you up, come on
(Doh-doh-doh, doh-doh, doh, doh)
Dance, jump on it
(Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy, then flaunt it
If you freaky, then own it
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't brag about it, come show me, come on
Dance, jump on it
(Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy, then flaunt it
Well, it's Saturday night and we in the spot
Don't believe me, just watch, come on

Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh–)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

Uptown funk you up (Woo, come on)
(Doh)
Uptown funk you up (Hey, say what?)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey)
(Doh-doh-doh, doh)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Woo, come on)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey, say what?)
Uptown funk you up (Hey)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Woo, come on)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey, say what?)
Uptown funk you up (Hey)
(Doh-doh-doh, doh)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Ah)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Say what?)
Uptown funk you up
Aw, ow"
301,Thinking Out Loud,Ed Sheeran,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darlin', I will be lovin' you till we're seventy
And baby, my heart could still fall as hard at twenty-three

And I'm thinkin' 'bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Well, me, I fall in love with you every single day
And I just wanna tell you I am

So honey, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
And place your head on my beatin' heart, I'm thinkin' out loud
Maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way, mmm
I know you will still love me the same
'Cause, honey, your soul could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory

I'm thinkin' 'bout how
People fall in love in mysterious ways
And maybe it's all part of a plan
Oh, I'll just keep on makin' the same mistakes
Hoping that you'll understand

That, baby, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
Place your head on my beatin' heart, I'm thinkin' out loud
And maybe we found love right where we are, oh-oh

Lo-lo-lo, lo-lo-lo
Lo-lo-lo, lo-lo-lo, love

So baby, now, take me into your lovin' arms
And kiss me under the light of a thousand stars, oh, darlin'
Place your head on my beatin' heart, I'm thinkin' out loud
That maybe we found love right where we are
Oh, maybe we found love right where we are
And we found love right where we are"
302,See You Again,Wiz Khalifa,"It's been a long day
Without you, my friend
And I'll tell you all about it when I see you again
We've come a long way
From where we began
Oh, I'll tell you all about it when I see you again
When I see you again
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standin' right here talkin' to you
'Bout another path, I know we loved to hit the road and laugh
But somethin' told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days, hard work forever pays
Now I see you in a better place
Uh

How can we not talk about family when family's all that we got?
Everything I went through, you were standin' there by my side
And now you gon' be with me for the last ride
It's been a long day
Without you, my friend
And I'll tell you all about it when I see you again (I'll see you again)
We've come a long way (Yeah, we came a long way)
From where we began (You know where we started)
Oh, I'll tell you all about it when I see you again (Let me tell you)
When I see you again

Oh, oh
Ooh (Yeah)
First, you both go out your way and the vibe is feelin' strong
And what's small turned to a friendship, a friendship turned to a bond
And that bond'll never be broken, the love will never get lost
And when brotherhood come first, then the line'll never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached, so remember me when I'm gone

How can we not talk about family when family's all that we got?
Everything I went through, you were standin' there by my side
And now you gon' be with me for the last ride

So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home
It's been a long day
Without you, my friend
And I'll tell you all about it when I see you again
We've come a long way
From where we began
Oh, I'll tell you all about it when I see you again
When I see you again

Oh (Uh), oh (Yeah-yeah; yeah)
Ooh (Yo, yo, uh)
When I see you again (See you again, yeah, yeah)
Oh (Yeah), oh (Yeah, yeah; oh-oh)
Ooh (Uh-huh, yup)
When I see you again"
303,Trap Queen,Fetty Wap,"RGF productions
Remy Boyz, yah-ah
1738, ayy

I'm like ""Hey, what's up? Hello"" (Ayy)
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a hundred grams though
Man, I swear I love her, how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans, though
In love with the money, I ain't never lettin' go

And I get high with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby (My baby)
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies

I'm like, ""Hey, what's up? Hello""
I hit the strip with my trap queen, 'cause all we know is bands
I just might snatch up a 'Rari and buy my boo a Lamb'
I just might snatch her a necklace, drop a couple on a ring
She ain't wantin' for nothin' because I got her everything
It's big ZooWap from the bando
Remind me where I can't go
Remy Boyz got the stamp though
Count up hella them bands though
Boy how far can your bands go?
Fetty Wap, I'm livin' fifty thousand K how I stand though
If you checkin' for my pockets I'm like…

And I get high with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby (My baby)
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby (My baby)
I be in the kitchen cookin' pies

I'm like, ""Hey, what's up? Hello""
Seen yo' pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a hundred grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans though
In love with the money, I ain't never lettin' go

I be smokin' dope and you know Backwoods what I roll
Remy Boyz, Fetty eatin' shit up, that's fasho
I'll run in ya house, then I'll fuck your ho
'Cause Remy Boyz or nothin'
Re-Re-Remy Boyz or nothin', yeah

Yeah, you hear my boy
Soundin' like a zillion bucks on the track
I got whatever on my boy, whatever
Put your money where your mouth is
Money on the wood make the game go good
Money out of sight cause fights
Put up or shut up, huh?
Nitt Da Gritt, huh, RGF Productions
Squad"
304,Sugar,Maroon 5,"I'm hurtin', baby, I'm broken down
I need your lovin', lovin', I need it now
When I'm without you, I'm somethin' weak
You got me beggin', beggin', I'm on my knees

I don't wanna be needin' your love
I just wanna be deep in your love
And it's killin' me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

Your sugar, yes, please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please
Won't you come and put it down on me?

Babe, my broken pieces, you pick them up
Don't leave me hangin', hangin', come give me some
When I'm without you, I'm so insecure
You are the one thing, one thing I'm livin' for

I don't wanna be needin' your love
I just wanna be deep in your love
And it's killin' me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

Sugar, yes, please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please (Your sugar, yes, please)
Won't you come and put it down on me?

Yeah
I want that red velvet, I want that sugar sweet
Don't let nobody touch it unless that somebody's me
I gotta be a man, there ain't no other way
'Cause, girl, you're hotter than a Southern California day
And I wanna play no games, you don't gotta be afraid
Don't give me all that shy shit
No makeup on, that's my sugar

Sugar, yes, please (Please)
Won't you come and put it down on me? (Down on me)
I'm right here, 'cause I need (I'm right here, 'cause I need)
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life (Yeah)
Your sugar, yes, please (Your sugar, yes, please)
Won't you come and put it down on me? (Down on me)
Sugar, yes, please
Won't you come and put it down on me? (Down on me)
I'm right here, 'cause I need (I'm right here, 'cause I need)
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please (Your sugar, yes, please)
Won't you come and put it down on me?
(Down on me, down on me, ooh)"
305,Shut Up and Dance,Walk the Moon,"""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me

We were victims of the night
The chemical, physical kryptonite
Helpless to the bass and the fading light
Oh, we were bound to get together
Bound to get together
She took my arm
I don't know how it happened
We took the floor and she said

""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me

A backless dress and some beat-up sneaks
My discothèque Juliet, teenage dream
I felt it in my chest as she looked at me
I knew we were bound to be together
Bound to be together
She took my arm
I don't know how it happened
We took the floor and she said

""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me

Oh, c'mon, girl

Deep in her eyes
I think I see the future
I realize this is my last chance
She took my arm
I don't know how it happened
We took the floor and she said

""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance
""Don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me

Ooh-ooh, shut up and dance with me
Ooh-ooh, shut up and dance with me"
306,Blank Space,Taylor Swift,"Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
""Oh, my God, look at that face
You look like my next mistake
Love's a game, wanna play?"" Ayy
New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So, hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend

So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name

Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the king, baby, I'm your queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh, no
Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessing, like
""Oh, my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream

So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless (Oh)
We'll take this way too far
It'll leave you breathless (Oh-oh), mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane (Insane)
But I've got a blank space, baby
And I'll write your name

Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya

So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over (Over), mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane (I'm insane)
'Cause you know I love the players
And you love the game (And you love the game)
'Cause we're young and we're reckless (Yeah)
We'll take this way too far (Ooh)
It'll leave you breathless, mm
Or with a nasty scar (With a nasty scar)
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
307,Watch Me,Silentó,"1 ContributorWatch me whip LyricsNow watch me whip (kill it!)
Now watch me nae nae (okay!)
Now watch me whip whip
Watch me nae nae (want me do it?)
Now watch me whip (kill it!)
Watch me nae nae (okay!)
Now watch me whip whip
Watch me nae nae (can you do it?)
Now watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Do the stanky leg, do the stanky leg
Do the stanky leg, do the stanky leg
Do the stanky leg, do the stanky leg
Do the stanky leg, do the stanky leg
Now break your legs
Break your legs
Tell 'em ""break your legs""
Break your legs
Now break your legs
Break your legs
Now break your legs
Break your legs
Now watch me (bop bop bop bop bop bop bop bop)
Now watch me (bop bop bop bop bop bop bop bop)
Now watch me whip (kill it!)
Now watch me nae nae (okay!)
Now watch me whip whip
Watch me nae nae (want me do it?)
Now watch me whip (kill it!)
Watch me nae nae (okay!)
Now watch me whip whip
Watch me nae nae (can you do it?)
Now watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Now watch me you
Now watch superman
Now watch me you
Now watch superman
Now watch me you
Now watch superman
Now watch me you
Now watch superman
Now watch me duff, duff, duff, duff, duff, duff, duff, duff (Hold on)
Now watch me duff, duff, duff, duff, duff, duff, duff, duff, duff
Now watch me (bop bop bop bop bop bop bop bop)
Now watch me (bop bop bop bop bop bop bop bop)
Now watch me whip (kill it!)
Now watch me nae nae (okay!)
Now watch me whip whip
Watch me nae nae (want me do it?)
Now watch me whip (kill it!)
Watch me nae nae (okay!)
Now watch me whip whip
Watch me nae nae (Can you do it?)
Now watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh"
