name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
girl crush,little big town,11qh54D0PKkBwelpDxxiEU,2014,2015,1
slow motion,trey songz,4NYwy0R3NdvORX2B6OZXBT,2015,2015,1
drag me down,one direction,2K87XMYnUMqLcX3zvtAF4G,2015,2015,1
truffle butter,nicki minaj,7e44z4wOjkllaD8eulUeMd,2014,2015,1
one last time,ariana grande,7xoUc6faLbCqZO6fQEYprd,2014,2015,1
chains,nick jonas,5Eg4TsPcqNbIjd8ADMZosg,2015,2015,1
all eyes on you,meek mill,0hy1SOTEn9ifXTzOwnCwEr,2015,2015,1
no type,rae sremmurd,4scpF6J5uMBvoh6sFB7EL1,2015,2015,1
riptide,vance joy,2uXlHCUbq9OMUwx3hrk06o,2014,2015,1
classic man,jidenna,3G7XYAwtxtoGK7fAm4IlD9,2015,2015,1
ex's & oh's,elle king,70eDxAyAraNTiD6lx2ZEnH,2015,2015,1
dear future husband,meghan trainor,5MEYDJVJMaGAXfddTo0D6J,2015,2015,1
marvin gaye,charlie puth,4LfkoDOt4mhrbo8Ndk37sQ,2015,2015,1
like i'm gonna lose you,meghan trainor,2YlZnw2ikdb837oKMKjBkW,2015,2015,1
the hanging tree,james newton howard,416MsJxvxSKY96DCmbJIRs,2014,2015,1
coco,o.t. genasis,2JI71GHwq2LN8mtq3iCLYo,2014,2015,1
lay me down,sam smith,74sb4Gib0cL3TQeCjYF8vh,2014,2015,1
tuesday,ilovemakonnen,35rSpXB5bk9ega9jsjcRts,2014,2015,1
hit the quan,ilovememphis,4OjuzM3rTWp3q60mEldNSF,2015,2015,1
downtown,macklemore & ryan lewis,5pfJsMwoRYKampPay8amX0,2016,2015,1
house party,sam hunt,1TwLKNsCnhi1HxbIi4bAW0,2014,2015,1
ayo,chris brown & tyga,0k6DnZMLoEUH8NGD5zh2SE,2015,2015,1
kick the dust up,luke bryan,5g15o2Sm55Hn9ShK5yEXgp,2015,2015,1
blessings,big sean,1bzM1cd6oqFozdr4wK6HdR,2015,2015,1
budapest,george ezra,2ixsaeFioXJmMgkkbd4uj1,2014,2015,1
heartbeat song,kelly clarkson,7FC9Lng8iXU081lbigu8m8,2015,2015,1
ghost,ella henderson,4z7gh3aIZV9arbL9jJSc5J,2015,2015,1
here,alessia cara,5zUQZjVB6bfewBXWqsP9PY,2015,2015,1
waves,mr probz,1HFfMOxCAT4GAwaPfCdmUs,2014,2015,1
el perdón,nicky jam & enrique iglesias,7qCAVkHWZkF44OzOUKf8Cr,2017,2015,1
she knows,ne-yo,7seTcUFOhn5caSDbiSfsp0,2015,2015,1
night changes,one direction,5O2P9iiztwhomNh8xkR9lJ,2014,2015,1
back to back,drake,5lFDtgWsjRJu8fPOAyJIAK,2015,2015,1
how deep is your love,calvin harris & disciples,22mek4IiqubGD9ctzxc69s,2015,2015,1
love yourself,justin bieber,50kpGaPAhYJ3sGmk6vplg0,2015,2016,1
sorry,justin bieber,09CtPGIpYB4BrO8qb1RGsF,2015,2016,1
one dance,drake,1zi7xx7UVEFkmKfv06H8x0,2016,2016,1
work,rihanna,72TFWvU3wUYdUuxejTTIzt,2016,2016,1
stressed out,twenty one pilots,3CRDbSIZ4r5MsZ0YwxuEkn,2015,2016,1
panda,desiigner,5YEOzOojehCqxGQCcQiyR4,2016,2016,1
don't let me down,the chainsmokers,1i1fxkWeaMmKEB4T7zqbzK,2016,2016,1
can't stop the feeling!,justin timberlake,1WkMMavIMc4JZ8cfMmxHkI,2016,2016,1
closer,the chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,2016,2016,1
cheap thrills,sia,3S4px9f4lceWdKf0gWciFu,2016,2016,1
7 years,lukas graham,5kqIPrATaCc2LqxVWzQGbk,2016,2016,1
needed me,rihanna,4pAl7FkDMNBsjykPXo91B3,2016,2016,1
my house,flo rida,6Knv6wdA0luoMUuuoYi2i1,2015,2016,1
i took a pill in ibiza,mike posner,0vbtURX4qv1l7besfwmnD8,2016,2016,1
work from home,fifth harmony,4tCtwWceOPWzenK2HAIJSb,2016,2016,1
this is what you came for,calvin harris,2vlDrKpOC0eSTqTDRcbYyw,2024,2016,1
cake by the ocean,dnce,76hfruVvmfQbw0eYn1nmeC,2016,2016,1
"me, myself & i",g-eazy & bebe rexha,40YcuQysJ0KlGQTeGUosTC,2015,2016,1
ride,twenty one pilots,2Z8WuEywRWYTKe1NybPQEW,2015,2016,1
heathens,twenty one pilots,6i0V12jOa3mr6uu4WYhUBr,2016,2016,1
pillowtalk,zayn,0PDUDa38GO8lMxLCRc4lL1,2016,2016,1
cold water,major lazer,7zsXy7vlHdItvUSH8EwQss,2016,2016,1
send my love (to your new lover),adele,0t7fVeEJxO2Xi4H2K5Svc9,2015,2016,1
roses,the chainsmokers,3vv9phIu6Y1vX3jcqaGz5Z,2015,2016,1
treat you better,shawn mendes,3QGsuHI8jO1Rx4JWLUh9jd,2017,2016,1
too good,drake,3BtuIIrQlkujKPuWF2B85z,2016,2016,1
low life,future,7EiZI6JVHllARrX9PUvAdX,2016,2016,1
just like fire,p!nk,7K5dzhGda2vRTaAWYI3hrb,2016,2016,1
broccoli,dram,0qy5D3OJre7SPJNMOL9I71,2016,2016,1
don't,bryson tiller,3pXF1nA74528Edde4of9CC,2015,2016,1
dangerous woman,ariana grande,6RUhbFEhrvGISaQ8u2j2JN,2016,2016,1
jumpman,drake & future,27GmP9AWRs744SzKcpJsTZ,2015,2016,1
"i hate u, i love u",gnash,7vRriwrloYVaoAe3a9wJHe,2016,2016,1
same old love,selena gomez,1BZG99C7Co1r6QUC3zaS59,2015,2016,1
controlla,drake,3O8NlPh2LByMU9lSRSHedm,2016,2016,1
one call away,charlie puth,5MwIGPDKeDb7SpblcaQP6O,2015,2016,1
let it go,james bay,2xsAm4w9P3kSF1DophKAiF,2014,2016,1
no,meghan trainor,0l0CvurVUrr2w3Jj1hOVFc,2017,2016,1
never forget you,zara larsson & mnek,6hmhG1b4LEyNuashVvuIAo,2017,2016,1
let me love you,dj snake,0lYBSQXN6rCTvUZvg9S0lU,2016,2016,1
don't mind,kent jones,27PmvZoffODNFW2p7ehZTQ,2016,2016,1
h.o.l.y.,florida georgia line,0BCy325UZyR9z0t0uxwn2N,2016,2016,1
we don't talk anymore,charlie puth,54PbBpquVfhfrwRwvjSXbI,2015,2016,1
into you,ariana grande,63y6xWR4gXz7bnUGOk8iI6,2016,2016,1
gold,kiiara,7yNX3ZFBWZoR52pbeU4Mcl,2020,2016,1
exchange,bryson tiller,43PuMrRfbyyuz4QpZ3oAwN,2015,2016,1
oui,jeremih,0PJIbOdMs3bd5AT8liULMQ,2015,2016,1
hands to myself,selena gomez,1LoriJC05IrHIDwj3q0KC1,2015,2016,1
2 phones,kevin gates,0wdKiSBUT7aZkXUIdJWcwC,2016,2016,1
starboy,the weeknd,7MXVkk9YMctZqd1Srtv4MB,2016,2016,1
for free,dj khaled,5TqBAOIBe0bQA0spNdcG3k,2016,2016,1
never be like you,flume,14gdERIqymApVn9vcsbmZ3,2016,2016,1
in the night,the weeknd,25KybV9BOUlvcnv7nN3Pyo,2015,2016,1
me too,meghan trainor,3KwwE4sgCzMaKWq6QBebmX,2017,2016,1
die a happy man,thomas rhett,5kNe7PE09d6Kvw5pAsx23n,2015,2016,1
white iverson,post malone,6eT7xZZlB2mwyzJ2sUKG6w,2016,2016,1
close,nick jonas,3lSDIJ2abCrOdDJ6pshUap,2016,2016,1
unsteady,x ambassadors,7lGKEWMXVWWTt3X71Bv44I,2015,2016,1
sucker for pain,lil wayne & wiz khalifa & imagine dragons & logic & ty dolla sign,4dASQiO1Eoo3RJvt74FtXB,2016,2016,1
down in the dm,yo gotti,5w1vhNA2OEWUQ371QzyMmM,2016,2016,1
luv,tory lanez,16Ah4QqH4mgYVXqfC4mdSd,2016,2016,1
sorry,beyoncé,0lnIJmgcUpEpe4AZACjayW,2016,2016,1
hymn for the weekend,coldplay,3RiPr603aXAoi4GHyXx0uy,2015,2016,1
say it,tory lanez,2Gyc6e2cLxA5hoX1NOvYnU,2016,2016,1
antidote,travis scott,1wHZx0LgzFHyeIZkUydNXq,2015,2016,1
lost boy,ruth b,0zMzyHAeMvwq5CRstru1Fp,2017,2016,1
side to side,ariana grande,43bCmCI0nSgcT7QdMXY6LV,2016,2016,1
"sit still, look pretty",daya,6w2rrJsn8Qpa7veSaVAyKh,2016,2016,1
middle,dj snake,0g5EKLgdKvNlln7TNqBByK,2016,2016,1
on my mind,ellie goulding,5a7NdkF09AfD0H607eiOkX,2015,2016,1
pop style,drake,5mPSyjLatqB00IkPqRlbTE,2016,2016,1
when we were young,adele,7GgWAITsYJaRM3r50rfh5w,2015,2016,1
hide away,daya,3WALaE7UdNXx8VJ4lpWCK8,2016,2016,1
i know what you did last summer,shawn mendes & camila cabello,2GyA33q5rti5IxkMQemRDH,2015,2016,1
all the way up,fat joe & remy ma,7Ezwtgfw7khBrpvaNPtMoT,2017,2016,1
back to sleep,chris brown,6dlpABcXrQKRU9G00i6Zba,2015,2016,1
no limit,usher,1CDBn2Lm7E63XKQDsdCq6O,2016,2016,1
cut it,o.t. genasis,376KnY4TrgBITxjlnbnmIy,2015,2016,1
really really,kevin gates,10I3CmmwT0BkOVhduDy53o,2016,2016,1
all in my head (flex),fifth harmony,7nD9nN3jord9wWcfW3Gkcm,2016,2016,1
starving,hailee steinfeld & grey,4Ce37cRWvM1vIGGynKcs22,2016,2016,1
adventure of a lifetime,coldplay,69uxyAqqPIsUyTO8txoP2M,2015,2016,1
humble and kind,tim mcgraw,4Pn0JlCUusD2QHjADuOzuV,2015,2016,1
wicked,future,6BbINUfGabVyiNFJpQXn3x,2016,2016,1
tiimmy turner,desiigner,3NJG6vMH1ZsectZkocMEm0,2016,2016,1
perfect,one direction,3NLnwwAQbbFKcEcV8hDItk,2015,2016,1
shape of you,ed sheeran,7qiZfU4dY1lWllzX7mPBI3,2017,2017,1
despacito (remix),luis fonsi & daddy yankee,6rPO02ozF3bM7NnOV4h6s2,2017,2017,1
that's what i like,bruno mars,0KKkJNfGyhkQ5aFogxQAPU,2016,2017,1
humble,kendrick lamar,7KXjTSCq5nL1LoYtL7XAwS,2017,2017,1
something just like this,the chainsmokers & coldplay,6RUKPb4LETWmmr3iAEQktW,2017,2017,1
bad and boujee,migos,0M9ydKzuF3oZTfYYPfaGX1,2017,2017,1
body like a back road,sam hunt,7FpBQ067pHB67deawpbbcY,2020,2017,1
believer,imagine dragons,0pqnGHJpmpxLKifKRmU6WP,2017,2017,1
congratulations,post malone,3a1lNhkSLSkpJE4MSHpDu9,2016,2017,1
say you won't let go,james arthur,5uCax9HTNlzGybIStD3vDh,2016,2017,1
i'm the one,dj khaled,608a1wIsSd5KzMEqm1O7w3,2011,2017,1
xo tour llif3,lil uzi vert,7GX5flRQZVHRAGd6B4TmDO,2017,2017,1
mask off,future,0VgkVdmE4gld66l8iyGjgx,2017,2017,1
unforgettable,french montana,3B54sVLJ402zGa6Xm4YGNe,2017,2017,1
24k magic,bruno mars,6b8Be6ljOzmkOmFslEb23P,2016,2017,1
stay,zedd & alessia cara,6uBhi9gBXWjanegOb2Phh0,2017,2017,1
wild thoughts,dj khaled,45XhKYRRkyeqoW3teSOkCM,2017,2017,1
black beatles,rae sremmurd,6fujklziTHa8uoM5OQSfIo,2016,2017,1
location,khalid,152lZdxL1OR0ZMW6KquMif,2017,2017,1
attention,charlie puth,5cF0dROlMOK5uNZtivgu50,2018,2017,1
there's nothing holdin' me back,shawn mendes,7JJmb5XwzOO8jgpou264Ml,2017,2017,1
bodak yellow,cardi b,6KBYefIoo7KydImq1uUQlL,2018,2017,1
redbone,childish gambino,3vQ4T78TTMOjQXGfXVKQJo,2016,2017,1
i don't wanna live forever,zayn & taylor swift,55n9yjI6qqXh5F2mYvUc2y,2017,2017,1
it ain't me,kygo & selena gomez,12GEpg2XOPyqk03JZEZnJs,2017,2017,1
ispy,kyle,2EEeOnHehOozLq4aS0n6SL,2016,2017,1
issues,julia michaels,7vu0JkJh0ldukEYbTVcqd0,2017,2017,1
scars to your beautiful,alessia cara,0wI7QkCcs8FUQE1OkXUIqd,2015,2017,1
1-800-273-8255,logic,5tz69p7tJuGPeMGwNTxYuV,2017,2017,1
slow hands,niall horan,2cOUlop2ZakjOKe4WinesN,2017,2017,1
love on the brain,rihanna,5oO3drDxtziYU2H1X23ZIp,2016,2017,1
i feel it coming,the weeknd,5GXAXm5YOmYT0kL5jHvYBt,2016,2017,1
bounce back,big sean,0SGkqnVQo9KPytSri1H6cF,2017,2017,1
strip that down,liam payne,29JrmE89KgRyCxBIzq2Ocw,2019,2017,1
fake love,drake,343YBumqHu19cGoGARUTsd,2017,2017,1
don't wanna know,maroon 5,1nueTG77MzNkJTKQ0ZdGzT,2018,2017,1
look what you made me do,taylor swift,1P17dC1amhFzptugyAO7Il,2017,2017,1
castle on the hill,ed sheeran,6PCUP3dWmTjcTtXY02oFdT,2017,2017,1
bad things,machine gun kelly & camila cabello,1PSBzsahR2AKwLJgx8ehBj,2017,2017,1
paris,the chainsmokers,72jbDTw1piOOj770jWNeaG,2017,2017,1
rockabye,clean bandit,2hrUO4drrO63i7FYbCLBl2,2018,2017,1
feel it still,portugal. the man,6QgjcU0zLnzq5OrUoSZ3OK,2017,2017,1
sorry not sorry,demi lovato,0yvPEnB032fojLfVluFjUv,2017,2017,1
bank account,21 savage,5eqK0tbzUPo2SoeZsov04s,2017,2017,1
mi gente,j balvin & willy william,7COfe3P7KgfwDwIRB8LIDw,2018,2017,1
thunder,imagine dragons,1zB4vmk8tFRmM9UULNzbLB,2017,2017,1
t-shirt,migos,1rkfJLgTlB6XYNjgZ0sVaK,2017,2017,1
rake it up,yo gotti,4knL4iPxPOZjQzTUlELGSY,2017,2017,1
mercy,shawn mendes,0AS63m1wHv9n4VVRizK6Hc,2017,2017,1
tunnel vision,kodak black,4Q3N4Ct4zCuIHuZ65E3BD4,2017,2017,1
rockstar,post malone,0e7ipj03S05BNilyu5bRzt,2018,2017,1
in case you didn't know,brett young,10M2Ex445zw585Ducldzkw,2017,2017,1
now or never,halsey,126oeltvIg79HHP4yAi4rq,2017,2017,1
caroline,aminé,5hTpBe8h35rJ67eAWHQsJx,2017,2017,1
rolex,ayo & teo,0pSBuHjILhNEo55xK1zrRt,2017,2017,1
dna,kendrick lamar,6HZILIRieu8S0iqY8kIKhj,2017,2017,1
juju on that beat (tz anthem),zay hilfigerrr & zayion mccall,1lItf5ZXJc1by9SbPeljFd,2016,2017,1
swang,rae sremmurd,6mapJIPnQ23RTAevUoE0DL,2016,2017,1
passionfruit,drake,5mCPDVBb16L4XQwDdbRUpz,2017,2017,1
loyalty,kendrick lamar,6SwRhMLwNqEi6alNPVG00n,2017,2017,1
praying,kesha,0jdny0dhgjUwoIp5GkqEaA,2017,2017,1
goosebumps,travis scott,6gBFPUFcJLzWGx4lenP6h2,2016,2017,1
cold,maroon 5,7gwLQ4tZ5UdZ7qNcDyJ8wr,2018,2017,1
slide,calvin harris,7tr2za8SQg2CI8EDgrdtNl,2017,2017,1
what ifs,kane brown,7zVCrzzEJU7u24sbJPXA5W,2016,2017,1
chained to the rhythm,katy perry,7qvxFz3JodM0A7xEM7k3YD,2017,2017,1
feels,calvin harris,5bcTCxgc7xVfSaMV3RuVke,2017,2017,1
all time low,jon bellion,0SuLAslEMFZAXf0SwY7syi,2016,2017,1
hurricane,luke combs,6xHI9KjUjYT0FPtGO8Mxa1,2017,2017,1
too good at goodbyes,sam smith,1mXVgsBdtIVeCLJnSnmtdV,2017,2017,1
young dumb & broke,khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017,2017,1
magnolia,playboi carti,1e1JKLEDKP7hEQzJfNAgPl,2017,2017,1
love galore,sza,0q75NwOoFiARAVp4EXU4Bs,2017,2017,1
drowning,a boogie wit da hoodie,1f5cbQtDrykjarZVrShaDI,2017,2017,1
both,gucci mane,5tFep7dXGd7vEJ668wTPux,2016,2017,1
what about us,p!nk,0Qh38w01QRXK6KHIv0e3hb,2017,2017,1
swalla,jason derulo,58w5J5yNWeGZ7a4cM1rO7Y,2024,2017,1
slippery,migos,0TBgMKD86t1VP3IzhxCoUl,2017,2017,1
sign of the times,harry styles,5Ohxk2dO5COHF1krpoPigN,2017,2017,1
water under the bridge,adele,4jL6WWKFDqCOPo2hC3VhSS,2015,2017,1
malibu,miley cyrus,1UZOjK1BwmwWU14Erba9CZ,2017,2017,1
down,marian hill,5eCkuGPZNl4mISFNPgr3Dd,2016,2017,1
no promises,cheat codes,5lNuqFVMca4vPupY10cH0J,2017,2017,1
i get the bag,gucci mane,1XRgIKC5TPwo7nWGyKqgG0,2017,2017,1
small town boy,dustin lynch,7mS200vKsSSVgrbMxWza54,2017,2017,1
everyday we lit,yfn lucci,3J8Q6aBhjpvao8BsBQ6H9Y,2017,2017,1
havana,camila cabello,1rfofaqEpACxVEHIZBJe6W,2018,2017,1
what lovers do,maroon 5,2j5hsQvApottzvTn4pFJWF,2018,2017,1
do re mi,blackbear,6Se3x9ANMLv0dCDsjGmEjh,2017,2017,1
look at me!,xxxtentacion,7floNISpH8VF4z4459Qo18,2017,2017,1
the fighter,keith urban,5OUSPcqhYTOzpbXzoEvKim,2016,2017,1
god's plan,drake,6DCZcSspjsKoFjzjrWoCdn,2018,2018,1
perfect,ed sheeran,0tgVpDi06FyKpA1z0VMD4v,2017,2018,1
meant to be,bebe rexha,4e4fqjx0Izh4svvTef1z7e,2018,2018,1
psycho,post malone,3swc6WTsr7rl9DqQKQA55C,2018,2018,1
i like it,cardi b & bad bunny & j balvin,58q2HKrzhC3ozto2nDdN4z,2018,2018,1
the middle,zedd & maren morris & grey,09IStsImFySgyp0pIQdqAc,2018,2018,1
in my feelings,drake,2G7V7zsVDxg1yRsu7Ew9RJ,2018,2018,1
girls like you,maroon 5,6V1bu6o1Yo5ZXnsCJU8Ovk,2018,2018,1
nice for what,drake,3CA9pLiwRIGtUBiMjbZmRw,2018,2018,1
lucid dreams,juice wrld,285pBltuF7vW8TeWk8hdRR,2018,2018,1
better now,post malone,7dt6x5M1jzdTEt8oCbisTK,2018,2018,1
finesse,bruno mars,3Vo4wInECJQuz9BIBMOu8i,2017,2018,1
boo'd up,ella mai,0At2qAoaVjIwWNAqrscXli,2017,2018,1
new rules,dua lipa,2ekn2ttSfGqwhhate0LSR0,2017,2018,1
sad!,xxxtentacion,3ee8Jmje8o58CHK66QrVC2,2018,2018,1
never be the same,camila cabello,4eWQlBRaTjPPUlzacqEeoQ,2018,2018,1
love lies,khalid & normani,45Egmo7icyopuzJN0oMEdk,2018,2018,1
no tears left to cry,ariana grande,2qT1uLXPVPzGgFOx4jtEuo,2018,2018,1
mine,bazzi,7uzmGiiJyRfuViKKK3lVmR,2018,2018,1
look alive,blocboy jb,6HJ34Zyw6bg8yGm28AxLXf,2018,2018,1
delicate,taylor swift,6NFyWDv5CjfwuzoCkw47Xf,2017,2018,1
yes indeed,lil baby & drake,6vN77lE9LK6HP2DewaN6HZ,2018,2018,1
friends,marshmello & anne-marie,1wIyr1y5wiWqo7nqbxHpWt,2018,2018,1
bad at love,halsey,3OzCF9i6Ey7EkkAYJztmKp,2017,2018,1
taste,tyga,2toVe5hfuIi97ytDPDbQFt,2019,2018,1
let you down,nf,52okn5MNA47tk87PeZJLEL,2017,2018,1
no limit,g-eazy,2DQ1ITjI0YoLFzuADN1ZBW,2017,2018,1
fefe,6ix9ine,43VXG87ajppI8mO1Mxo8vu,2018,2018,1
tequila,dan + shay,42fw0rxRO2xbesF6mJfd4Y,2018,2018,1
motorsport,migos & nicki minaj & cardi b,4wFjTWCunQFKtukqrNijEt,2018,2018,1
i like me better,lauv,4MagTPnkPiDuIa4P8GtW1b,2018,2018,1
youngblood,5 seconds of summer,2iUXsYOEPhVqEBwsqP70rE,2018,2018,1
whatever it takes,imagine dragons,6Qn5zhYkTa37e91HC1D7lb,2017,2018,1
ric flair drip,offset & metro boomin,7sO5G9EABYOXQKNPNiE9NR,2017,2018,1
i fall apart,post malone,75ZvA4QfFiZvzhj2xkaWAh,2016,2018,1
pray for me,the weeknd & kendrick lamar,6huNf4dutXRjJyGn7f5BPS,2021,2018,1
back to you,selena gomez,4hQ6UGyWQIGJmHSo0J88JW,2018,2018,1
sicko mode,travis scott,2xLMifQCjDGFmkHkpNLD9h,2018,2018,1
walk it talk it,migos,6n4U3TlzUGhdSFbUUhTvLP,2018,2018,1
gucci gang,lil pump,43ZyHQITOjhciSUUNPVRHc,2017,2018,1
him & i,g-eazy & halsey,5k38wzpLb15YgncyWdTZE4,2017,2018,1
in my blood,shawn mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,2018,2018,1
all the stars,kendrick lamar & sza,3GCdLUSnKSMJhs4Tj6CV3s,2018,2018,1
stir fry,migos,2UVbBKQOdFAekPTRsnkzcf,2018,2018,1
love,kendrick lamar,6PGoSes0D9eUDeeAafB2As,2017,2018,1
this is america,childish gambino,0b9oOr2ZgvyQu88wzixux9,2018,2018,1
nonstop,drake,0TlLq3lA83rQOYtrqBqSct,2018,2018,1
heaven,kane brown,1HXy5I3HTWq8OvxCn0z7G7,2017,2018,1
freaky friday,lil dicky,6dbSBQXCctYSVryynHXaZ4,2018,2018,1
gummo,6ix9ine,2HBtd9MYDd2xDVu8Zc6pwt,2018,2018,1
plug walk,rich the kid,1ZAyjvIk9YiD76yYy0TEG6,2018,2018,1
wait,maroon 5,6AvfZXpbb6r35DfF7gHPRq,2018,2018,1
be careful,cardi b,2Yl4OmDby9iitgNWZPwxkd,2018,2018,1
wolves,selena gomez & marshmello,0tBbt8CrmxbjRP0pueQkyU,2017,2018,1
bartier cardi,cardi b,0dIoGTQXDh1wVnhIiSyYEa,2018,2018,1
god is a woman,ariana grande,5OCJzvD7sykQEKHH7qAC3C,2018,2018,1
big bank,yg,0ZNrc4kNeQYD9koZ3KvCsy,2018,2018,1
how long,charlie puth,6wmAHw1szh5RCKSRjiXhPe,2018,2018,1
lights down low,max,5A6BJLZArq1MPjsnmcuk5f,2016,2018,1
one kiss,calvin harris & dua lipa,7ef4DlsgrMEH11cDZd32M6,2018,2018,1
natural,imagine dragons,2FY7b99s15jUprqC0M5NCT,2018,2018,1
you make it easy,jason aldean,2TXtN9MoV308Y0z1HvyTfV,2018,2018,1
no brainer,dj khaled,5WvAo7DNuPRmk4APhdPzi8,2018,2018,1
plain jane,asap ferg,4dVpf9jZjcORqGTLUaeYj9,2017,2018,1
sky walker,miguel,5WoaF1B5XIEnWfmb5NZikf,2017,2018,1
marry me,thomas rhett,0OWZFobGSIW9GrSlQ9C5pc,2017,2018,1
eastside,benny blanco & halsey & khalid,7FGq80cy8juXBCD2nrqdWU,2018,2018,1
call out my name,the weeknd,09mEdoA6zrmBPgTEN5qXmN,2018,2018,1
king's dead,jay rock & kendrick lamar & future & james blake,51rXHuKN8Loc4sUlKPODgH,2018,2018,1
happier,marshmello & bastille,7BqHUALzNBTanL6OvsqmC1,2018,2018,1
te boté,darell,3V8UKqhEK5zBkBb6d6ub8i,2018,2018,1
simple,florida georgia line,4L9Ds4mpD3SuYoWwFUlv16,2019,2018,1
lemon,n.e.r.d & rihanna,4PpuH4mxL0rD35mOWaLoKS,2017,2018,1
say something,justin timberlake,1LhMopPAallLeaeNutqbgS,2018,2018,1
i'm upset,drake,3qN5qMTKyEEmiTZD38BNTT,2018,2018,1
get along,kenny chesney,6n6OQfBpCgzF9oEg8zhBN7,2018,2018,1
moonlight,xxxtentacion,0JP9xo3adEtGSdUEISiszL,2018,2018,1
x,nicky jam & j balvin,6JjPBQfI2Y8nIjnm65X6Pw,2018,2018,1
outside today,youngboy never broke again,3sA7HKGzcKTVscdiTCrWpX,2018,2018,1
trip,ella mai,6CTWathupIiDs7U4InHnDA,2018,2018,1
dura,daddy yankee,6KuqAtoeVzxAYOaMveLNpH,2018,2018,1
changes,xxxtentacion,7AFASza1mXqntmGtbxXprO,2018,2018,1
mercy,brett young,2VIPU72L6tIR4w8J8ap6Kp,2017,2018,1
one number away,luke combs,4gB7HrYHbJVJ5RFOjxmoq4,2017,2018,1
powerglide,rae sremmurd,1BuZAIO8WZpavWVbbq3Lci,2018,2018,1
idgaf,dua lipa,76cy1WJvNGJTj78UqeA5zr,2017,2018,1
old town road,lil nas x,2YpeDb67231RjR0MgVLzsG,2019,2019,1
sunflower,post malone & swae lee,0RiRZpuVRbi7oqRdSMwhQY,2019,2019,1
without me,halsey,6FZDfxM3a3UCqtzo5pxSLZ,2020,2019,1
bad guy,billie eilish,2Fxmhks0bxGSBdJ92vM42m,2019,2019,1
wow,post malone,7xQAfvXzm3AkraOtGPWIZg,2019,2019,1
7 rings,ariana grande,6ocbgoVGwYJhOv1GgI9NsF,2019,2019,1
talk,khalid,6TqXcAFInzjp0bODyvrWEq,2019,2019,1
sucker,jonas brothers,22vgEDb5hykfaTwLuskFGD,2019,2019,1
high hopes,panic! at the disco,1rqqCSm0Qe4I9rUvWncaom,2018,2019,1
"thank u, next",ariana grande,3e9HZxeyfWwjeyPAMmWSSQ,2019,2019,1
truth hurts,lizzo,3HWzoMvoF3TQfYg4UPszDq,2019,2019,1
dancing with a stranger,sam smith & normani,3xgT3xIlFGqZjYW9QlhJWp,2020,2019,1
señorita,shawn mendes & camila cabello,6v3KW9xbzN5yKLt9YKDYA2,2019,2019,1
i don't care,ed sheeran & justin bieber,3HVWdVOQ0ZA45FuZGSfvns,2019,2019,1
going bad,meek mill,2IRZnDFmlqMuOrYOLnZZyc,2018,2019,1
shallow,lady gaga & bradley cooper,2VxeLyX666F8uXCJ0dZF8B,2018,2019,1
better,khalid,2OpBganfGk2GVdSlRdxzaX,2018,2019,1
no guidance,chris brown,6XHVuErjQ4XNm6nDPVCxVX,2019,2019,1
sweet but psycho,ava max,7DnAm9FOTWE3cUvso43HhI,2020,2019,1
suge,dababy,2gwkD6igEhQbDQegRCcdoB,2019,2019,1
middle child,j. cole,2JvzF1RMd7lE3KmFlsyZD8,2019,2019,1
drip too hard,lil baby & gunna,78QR3Wp35dqAhFEc2qAGjE,2018,2019,1
someone you loved,lewis capaldi,7qEHsqek33rTcFNT9PFqLf,2019,2019,1
ransom,lil tecca,1lOe9qE0vR9zwWQAOk6CoO,2019,2019,1
if i can't have you,shawn mendes,2bT1PH7Cw3J9p3t7nlXCdh,2019,2019,1
goodbyes,post malone,0t3ZvGKlmYmVsDzBJAXK8C,2019,2019,1
zeze,kodak black,0FZ4Dmg8jJJAPJnvBIzD9z,2018,2019,1
money in the grave,drake,5ry2OE6R2zPQFDO85XkgRb,2019,2019,1
speechless,dan + shay,3GJ4hzg4lrGwU51Y3VARbF,2018,2019,1
"break up with your girlfriend, i'm bored",ariana grande,4kV4N9D1iKVxx1KLvtTpjS,2019,2019,1
please me,cardi b & bruno mars,0PG9fbaaHFHfre2gUVo7AN,2019,2019,1
money,cardi b,2GGMabyHXnJmjY6CXhhB2e,2018,2019,1
you need to calm down,taylor swift,6RRNNciQGZEXnqk8SQ9yv5,2019,2019,1
panini,lil nas x,6fTt0CH2t0mdeB2N9XFG5r,2019,2019,1
look back at it,a boogie wit da hoodie,3Ol2xnObFdKV9pmRD2t9x8,2018,2019,1
a lot,21 savage,2t8yVaLvJ0RenpXUIAC52d,2018,2019,1
me!,taylor swift,2Rk4JlNc2TPmZe2af99d45,2019,2019,1
mia,bad bunny,3gE4eQH3K83Sght0ZLvuBK,2018,2019,1
pop out,polo g,6uFn47ACjqYkc0jADwEdj1,2019,2019,1
beautiful crazy,luke combs,2rxQMGVafnNaRaXlRMWPde,2018,2019,1
thotiana,blueface,1rBjexQsgqXpsS2BrCxaDX,2018,2019,1
mo bamba,sheck wes,1xzBco0xcoJEDXktl7Jxrr,2018,2019,1
