,billboard_year,rank,name,artist,featuring,target
408,2014,9,Problem,Ariana Grande,Iggy Azalea,1
409,2014,10,Stay with Me,Sam Smith,,1
410,2014,11,Timber,Pitbull,Kesha,1
411,2014,12,Pompeii,Bastille,,1
412,2014,13,Shake It Off,Taylor Swift,,1
413,2014,14,Am I Wrong,Nico & Vinz,,1
414,2014,15,Turn Down for What,DJ Snake & Lil Jon,,1
415,2014,16,The Monster,Eminem,Rihanna,1
416,2014,17,Say Something,A Great Big World & Christina Aguilera,,1
417,2014,18,Team,Lorde,,1
418,2014,19,Let Her Go,Passenger,,1
419,2014,20,Royals,Lorde,,1
420,2014,21,Let It Go,Idina Menzel,,1
421,2014,22,Wake Me Up,Avicii,,1
422,2014,23,Demons,Imagine Dragons,,1
423,2014,24,Story of My Life,One Direction,,1
424,2014,25,Chandelier,Sia,,1
425,2014,26,Black Widow,Iggy Azalea,Rita Ora,1
426,2014,27,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,,1
427,2014,28,Latch,Disclosure,Sam Smith,1
428,2014,29,Maps,Maroon 5,,1
429,2014,30,Loyal,Chris Brown,Lil Wayne & French Montana & Too Short & Tyga,1
430,2014,31,Best Day of My Life,American Authors,,1
431,2014,32,Habits (Stay High),Tove Lo,,1
432,2014,33,Summer,Calvin Harris,,1
433,2014,34,Boom Clap,Charli XCX,,1
434,2014,35,Drunk in Love,Beyoncé,Jay-Z,1
435,2014,36,Anaconda,Nicki Minaj,,1
436,2014,37,Break Free,Ariana Grande,Zedd,1
437,2014,38,Bailando,Enrique Iglesias,Descemer Bueno & Gente de Zona,1
438,2014,39,Burn,Ellie Goulding,,1
439,2014,40,Wiggle,Jason Derulo,Snoop Dogg,1
440,2014,41,Rather Be,Clean Bandit,Jess Glynne,1
441,2014,42,Don't Tell 'Em,Jeremih,YG,1
442,2014,43,Show Me,Kid Ink,Chris Brown,1
443,2014,44,Wrecking Ball,Miley Cyrus,,1
444,2014,45,Not a Bad Thing,Justin Timberlake,,1
445,2014,46,Roar,Katy Perry,,1
